Name,Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Discus,Pole_Vault,Javelin,1500m,Event_URL
Erki Nool,8706,10.69,7.81,14.2,1.95,46.95,14.43,41.84,5.5,68.89,270.4,https://www.decathlon2000.com/742/talence-2000/
Attila Zsivoczky,8293,11.0,7.06,14.69,2.16,48.68,15.23,46.75,4.6,65.26,265.81,https://www.decathlon2000.com/742/talence-2000/
Roman Šebrle,8228,10.96,7.33,14.76,2.07,48.78,14.23,46.37,4.4,62.71,276.87,https://www.decathlon2000.com/742/talence-2000/
Laurent Hernu,8178,11.15,7.26,14.12,2.1,49.98,14.25,44.81,5.1,56.16,276.68,https://www.decathlon2000.com/742/talence-2000/
Lionel Marceny,7836,10.82,7.74,12.32,1.92,49.46,14.32,38.36,5.0,47.92,275.27,https://www.decathlon2000.com/742/talence-2000/
Anis Riahi,7642,11.02,7.02,11.2,1.89,47.72,15.31,38.97,4.4,57.46,255.12,https://www.decathlon2000.com/742/talence-2000/
Cedric Lopez,7624,11.17,7.2,13.42,1.95,50.76,15.01,39.74,4.4,58.32,268.18,https://www.decathlon2000.com/742/talence-2000/
Romain Barras,7609,11.25,6.99,13.27,1.95,50.01,14.46,37.91,4.6,59.65,280.77,https://www.decathlon2000.com/742/talence-2000/
Bruno Lambese,7555,11.09,7.08,14.08,1.98,50.04,15.02,41.92,4.3,47.84,270.65,https://www.decathlon2000.com/742/talence-2000/
Laurent Claude,7286,11.54,6.77,12.52,1.92,51.23,15.4,40.45,4.7,52.49,271.83,https://www.decathlon2000.com/742/talence-2000/
Cyrille Delarche,7279,11.38,6.66,13.47,2.01,52.79,15.54,44.96,4.4,49.75,276.91,https://www.decathlon2000.com/742/talence-2000/
Stephane Back,7120,10.86,6.98,12.03,1.77,49.55,16.07,32.68,4.6,54.54,279.13,https://www.decathlon2000.com/742/talence-2000/
Oleksandr Yurkov,8324,11.06,7.47,15.39,1.97,50.29,14.55,47.89,5.25,59.18,274.88,https://www.decathlon2000.com/743/talence-2001/
Laurent Hernu,8213,11.21,7.24,13.86,2.03,49.66,14.27,46.76,5.15,60.14,275.74,https://www.decathlon2000.com/743/talence-2001/
Benjamin Jensen,8153,10.75,6.95,14.49,1.85,48.35,14.03,43.45,5.15,60.38,275.83,https://www.decathlon2000.com/743/talence-2001/
Stefan Schmid,8081,11.05,7.53,14.23,1.91,49.26,14.56,42.96,4.95,63.44,282.86,https://www.decathlon2000.com/743/talence-2001/
Jiri Ryba,7968,11.2,6.96,13.63,2.06,49.68,14.62,43.12,4.95,53.92,263.68,https://www.decathlon2000.com/743/talence-2001/
Jan Podebradsky,7950,11.01,7.1,14.64,1.91,48.17,14.56,40.34,4.75,52.35,257.15,https://www.decathlon2000.com/743/talence-2001/
Attila Zsivoczky,7895,11.3,6.62,14.41,2.03,49.75,15.25,46.03,4.75,63.33,271.45,https://www.decathlon2000.com/743/talence-2001/
Chiel Warners,7826,10.93,7.32,14.04,1.91,48.29,14.4,42.06,4.65,55.37,291.94,https://www.decathlon2000.com/743/talence-2001/
Klaus Ambrosch,7778,11.21,6.81,14.56,1.85,50.07,14.81,43.28,4.55,68.94,277.17,https://www.decathlon2000.com/743/talence-2001/
