Athlete_Name,Total_Points,100m,Long_Jump,Shot_Put,High_Jump,400m,110m_Hurdles,Pole_Vault,Discus,Javelin,1500m,Source_URL
Gavin Pike,5707,11.22,6.24,9.20,1.83,54.19,17.65,3.05,32.57,39.98,285.03,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Will Hugo,5617,10.96,6.73,11.69,1.80,54.11,16.59,3.65,34.44,37.42,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Kaisen Storm,5221,11.9,5.98,9.20,1.74,54.5,17.32,2.95,28.45,36.85,298.67,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Alex Palmer,5057,10.89,6.08,9.21,1.56,53.29,20.98,3.85,23.98,33.70,315.23,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Nick Fuess,4720,11.93,5.50,9.19,1.62,57.41,18.56,3.05,27.35,32.21,298.71,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jacob Balcome,7195,11.39,6.64,12.76,1.93,49.77,15.01,4.25,38.35,47.86,269.51,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jace Stolte,6859,11.16,6.75,11.65,1.90,49.26,15.5,4.05,32.23,44.81,278.48,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Nolan Seaberg,6531,11.36,6.62,12.55,1.84,50.78,16.18,3.65,31.50,47.41,282.39,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jacob Hackbarth,6483,11.7,6.12,11.68,1.72,52.32,16.83,4.15,44.20,46.28,274.42,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Trent Backeberg,6416,11.36,7.05,11.11,1.75,51.11,15.35,3.15,34.48,49.70,298.56,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Evan Paul,6371,11.06,6.57,12.66,1.84,50.72,16.95,3.55,32.48,46.17,301.52,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Cohen Oberg,6047,11.82,6.47,10.93,1.84,53.0,16.17,3.85,32.14,43.77,312.51,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Nick Guthrie,5793,11.81,6.12,11.79,1.72,53.49,16.85,2.75,35.87,48.15,293.73,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Cody Powell,5684,11.51,6.04,9.35,1.84,51.81,16.19,3.85,24.92,27.39,296.15,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jackson Koppen,5656,11.65,6.62,9.19,1.90,51.08,16.84,0,34.61,47.03,301.35,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jack Campbell,5526,11.58,6.41,12.57,1.84,52.77,16.08,3.65,33.00,33.59,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Todd Petersen,5225,12.04,6.21,11.36,1.78,57.44,16.21,3.85,26.10,36.03,373.98,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jamie Reeve,5149,12.07,6.01,10.79,1.72,52.43,16.05,0,33.85,21.50,281.08,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Gavin Ridge,5126,11.78,6.21,10.51,1.84,54.57,17.15,0,33.52,41.96,331.44,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Blake Moberg,4692,12.28,5.67,7.96,1.66,54.96,18.16,2.95,25.31,32.23,302.6,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Vincent Nash,4461,12.09,5.48,9.59,1.81,58.38,17.19,3.25,28.88,0,347.19,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Owen Murphy,4254,11.94,5.44,9.67,1.60,52.72,16.48,3.45,24.05,0,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Bryant Yanke,3645,11.56,0,0,1.72,52.43,15.2,0,27.29,37.31,0.0,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Caleb Smith,7170,10.93,6.94,11.74,1.98,49.97,15.51,4.30,38.89,52.44,302.54,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Blake Smith,6586,10.85,6.79,10.36,1.77,49.48,15.02,4.30,31.12,45.00,324.11,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Tony Espinosa,6099,10.85,6.39,8.91,1.71,50.44,14.96,3.40,27.67,41.44,297.71,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Hunter Bond,5996,11.14,6.38,10.62,1.65,50.73,17.39,3.60,32.62,43.08,294.45,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Jadan Williams,5790,11.38,5.91,11.12,1.74,55.33,17.16,4.00,34.26,47.43,329.08,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Nikolas Sorich,5716,11.28,6.24,12.28,1.65,52.81,17.12,3.60,32.61,44.78,348.71,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Aaron Elseth,5382,11.69,5.73,12.05,1.65,54.39,16.77,3.70,29.97,37.58,340.49,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
Eli Leafblad,5270,11.36,5.93,10.03,1.71,55.4,16.99,3.20,26.67,40.03,325.42,https://tfrrs.org/lists/5603/2026_NCAA_Division_II_Outdoor_Qualifying#event39
